"team_roster_id","team_id","position_id","valid_from","valid_until","player_id","position_type_id","tournament"
43444,"b72f3061-f573-40d7-832a-5ad475bd7909",2,"2021-07-23 06:29:01.322077","2021-07-23 12:25:25.57268","a6ec8d00-a78f-4f6b-b51a-db9f5507cf0a","0",-1
43447,"b72f3061-f573-40d7-832a-5ad475bd7909",17,"2021-07-23 07:16:48.523041","2021-07-23 12:25:25.57268","f2c477fb-28ea-4fcb-943a-9fab22df3da0","4",-1
43052,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",1,"2021-07-21 03:26:25.662696","2021-07-23 12:26:20.684732","67e435a4-62dc-4272-a2fc-b2576f9e0510","1",-1
43485,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",6,"2021-07-23 11:22:11.639185","2021-07-23 12:26:20.684732","cc933b79-9218-4693-8172-f23d4eaccdf7","4",-1
43446,"b72f3061-f573-40d7-832a-5ad475bd7909",2,"2021-07-23 07:16:48.523041","2021-07-23 13:21:24.012163","2f1c87ef-c5c4-4bd8-9786-cc39473fa9df","1",-1
43445,"b72f3061-f573-40d7-832a-5ad475bd7909",16,"2021-07-23 06:29:01.322077","2021-07-23 13:21:24.012163","db33a54c-3934-478f-bad4-fc313ac2580e","4",-1
42690,"979aee4a-6d80-4863-bf1c-ee1a78e06024",0,"2021-07-04 18:01:28.925671","2021-07-23 13:21:33.99913","21cbbfaa-100e-48c5-9cea-7118b0d08a34","1",-1
43419,"979aee4a-6d80-4863-bf1c-ee1a78e06024",18,"2021-07-23 03:26:06.465579","2021-07-23 13:21:33.99913","11de4da3-8208-43ff-a1ff-0b3480a0fbf1","4",-1
43309,"979aee4a-6d80-4863-bf1c-ee1a78e06024",1,"2021-07-22 18:15:28.706645","2021-07-23 14:12:06.387832","80de2b05-e0d4-4d33-9297-9951b2b5c950","1",-1
42495,"979aee4a-6d80-4863-bf1c-ee1a78e06024",15,"2021-07-04 18:01:18.926707","2021-07-23 14:12:06.387832","ccc99f2f-2feb-4f32-a9b9-c289f619d84c","4",-1
43402,"b024e975-1c4a-4575-8936-a3754a08806a",0,"2021-07-23 02:21:00.398625","2021-07-23 14:14:44.736475","691f9ab2-9dd4-42e8-bf95-9fd01253c801","1",-1
43403,"b024e975-1c4a-4575-8936-a3754a08806a",6,"2021-07-23 02:21:00.398625","2021-07-23 14:14:44.736475","b7ca8f3f-2fdc-477b-84f4-157f2802e9b5","4",-1
